FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE
FR0485,5.0,240.72,NQC500E500X020E
FR0495,5.0,184.07,MQC700E700B044A
FR0495,5.0,184.07,NQ-700E7001044A
FR0495,5.0,184.07,NQ-700E7001044E
FR0495,5.0,184.07,NQ-700E700B044A
FR0495,5.0,184.07,NQ-700E700B044E
FR0495,5.0,184.07,NQ-700E700B044U
FR0495,5.0,184.07,NQ-700M700B044A
FR0495,5.0,184.07,NQ-700M700B044E
FR0495,5.0,184.07,NQ-700S700B044A
FR0495,5.0,184.07,NQ-700S700B044E
FR0495,5.0,184.07,NQC700E7001044A
FR0495,5.0,184.07,NQC700E7001044E
FR0495,5.0,184.07,NQC700E7001044U
FR0495,5.0,184.07,NQC700E700B044A
FR0495,5.0,184.07,NQC700E700B044E
FR0495,5.0,184.07,NQC700E700B044U
FR0495,5.0,184.07,NQC700E700B044Z
FR0495,5.0,184.07,NQC700E700X044A
FR0495,5.0,184.07,NQC700E700X044E
FR0497,3.0,355.56,NQ-350E350Z015F
FR0497,3.0,355.56,NQ-350E350Z015M
FR0503,5.0,283.08,NQ-400E4001020A
FR0503,5.0,283.08,NQ-400E4001020E
FR0503,5.0,283.08,NQ-400E4001020U
FR0503,5.0,283.08,NQ-400E400B020A
FR0503,5.0,283.08,NQ-400E400B020E
FR0503,5.0,283.08,NQ-400E400B020U
FR0503,5.0,283.08,NQ-400E400X020A
FR0503,5.0,283.08,NQ-400E400X020E
FR0503,5.0,283.08,NQC400E4001020U
FR0503,5.0,283.08,NQC400E400B020A
FR0503,5.0,283.08,NQC400E400B020E
FR0503,5.0,283.08,NQC400E400B020U
FR0503,5.0,283.08,TQ-400E400B020A
FR0506,3.0,260.0,MQ-400E400A032A
FR0506,3.0,260.0,MQ-400S400A032A
FR0506,3.0,260.0,NQ-400E400A032A
FR0506,3.0,260.0,NQC400E400A032A
FR0506,3.0,260.0,NQC400E400A032K
FR0506,3.0,260.0,TQ-400E400A032A
FR0506,5.0,261.44,MQ-400E400A032A
FR0506,5.0,261.44,MQ-400S400A032A
FR0506,5.0,261.44,NQ-400E400A032A
FR0506,5.0,261.44,NQC400E400A032A
FR0506,5.0,261.44,NQC400E400A032K
FR0506,5.0,261.44,TQ-400E400A032A
FR0507,5.0,252.84,NQ-500E5001040A
FR0507,5.0,252.84,NQ-500E500A040A
FR0507,5.0,252.84,NQ-500E500A040K
FR0507,5.0,252.84,NQC500E500A040A
FR0507,5.0,252.84,NQC500E500A040K
FR0507,5.0,252.84,NQC500S500A040K
FR0507,5.0,252.84,TQC500E500A040A
FR0507,5.0,252.84,UQC500E500A040A
FR0510,3.0,312.54,ND-320S250Z006D
FR0510,3.0,312.54,ND-320S250Z006P
FR0512,5.0,325.16,TD-200E300B006A
FR0512,5.0,325.16,TD-200E300B006K
FR0512,5.0,325.16,TDC200E300B006K
FR0515,5.0,190.55,NQ-500E500C024A
FR0515,5.0,190.55,TQ-500E500C024A
FR0515,5.0,190.55,TQ-500E500C024K
FR0517,5.0,221.1,NQ-400E750B036A
FR0518,3.0,405.76,TD-200E200B008D
FR0518,3.0,405.76,TD-200E200B008P
FR0520,2.0,356.15,TQ-300E300B016D
FR0520,2.0,356.15,TQ-300E300B016P
FR0520,3.0,269.41,TQ-300E300B016D
FR0520,3.0,269.41,TQ-300E300B016P
FR0521,3.0,228.17,ND-700M500R006P
FR0521,3.0,228.17,ND-700S500R006P
FR0521,3.0,228.17,TD-700S500R006P
FR0524,5.0,204.88,ND-300E300B010A
